Row;DateTime;Farm;Device;RobotHWversion;RobotSoftwareVersion;Major;Minor;Severity
22;2021-06-27 05:20;S02.Sweden.VMS test.Ärnebäck.VC;MS2;V2018_2;9.4_2021may28;15;417;4
23;2021-06-27 05:21;S02.Sweden.VMS test.Ärnebäck.VC;MS2;V2018_2;9.4_2021may28;15;425;4
63;2021-06-27 08:18;S02.Sweden.VMS test.Ärnebäck.VC;MS2;V2018_2;9.4_2021may28;2;403;5
68;2021-06-27 08:27;S02.Sweden.VMS test.Ärnebäck.VC;MS2;V2018_2;9.4_2021may28;2;403;5
79;2021-06-27 09:11;S02.Sweden.VMS test.Ärnebäck.VC;VMS 1;V2010;18.5_rc1;2;207;4
89;2021-06-27 09:39;S02.Sweden.VMS test.Ärnebäck.VC;MS2;V2018_2;9.4_2021may28;2;402;5
192;2021-06-27 17:02;S02.Sweden.VMS test.Ärnebäck.VC;MS2;V2018_2;9.4_2021may28;2;402;5
226;2021-06-27 21:37;S02.Sweden.VMS test.Ärnebäck.VC;MS2;V2018_2;9.4_2021may28;15;417;4
227;2021-06-27 21:39;S02.Sweden.VMS test.Ärnebäck.VC;MS2;V2018_2;9.4_2021may28;15;425;4
246;2021-06-28 00:45;S02.Sweden.VMS test.Ärnebäck.VC;VMS 1;V2010;18.5_rc1;2;207;4
259;2021-06-28 04:25;S02.Sweden.VMS test.Ärnebäck.VC;VMS 1;V2010;18.5_rc1;5;202;5
263;2021-06-28 05:20;S02.Sweden.VMS test.Ärnebäck.VC;MS2;V2018_2;9.4_2021may28;15;417;4
264;2021-06-28 05:21;S02.Sweden.VMS test.Ärnebäck.VC;MS2;V2018_2;9.4_2021may28;15;425;4
320;2021-06-28 08:22;S02.Sweden.VMS test.Ärnebäck.VC;MS2;V2018_2;9.4_2021may28;2;412;4
321;2021-06-28 08:22;S02.Sweden.VMS test.Ärnebäck.VC;MS2;V2018_2;9.4_2021may28;2;412;4
322;2021-06-28 08:22;S02.Sweden.VMS test.Ärnebäck.VC;MS2;V2018_2;9.4_2021may28;17;1805;4
8;2021-06-27 01:38;S02.Sweden.VMS test.Anderses.VC;MS1;V2018_2;8.2.11_2021jun11-1;4;105;4
9;2021-06-27 01:41;S02.Sweden.VMS test.Anderses.VC;MS1;V2018_2;8.2.11_2021jun11-1;4;1;4
33;2021-06-27 06:08;S02.Sweden.VMS test.Anderses.VC;Sorteringsgrind;;;4;126;5
65;2021-06-27 08:24;S02.Sweden.VMS test.Anderses.VC;MS1;V2018_2;8.2.11_2021jun11-1;5;123;4
118;2021-06-27 11:22;S02.Sweden.VMS test.Anderses.VC;MS1;V2018_2;8.2.11_2021jun11-1;4;105;4
120;2021-06-27 11:25;S02.Sweden.VMS test.Anderses.VC;MS1;V2018_2;8.2.11_2021jun11-1;4;1;4
151;2021-06-27 14:11;S02.Sweden.VMS test.Anderses.VC;MS2;V2018_2;8.2.11_2021jun11-1;4;105;4
153;2021-06-27 14:12;S02.Sweden.VMS test.Anderses.VC;MS2;V2018_2;8.2.11_2021jun11-1;4;1;4
162;2021-06-27 14:49;S02.Sweden.VMS test.Anderses.VC;MS1;V2018_2;8.2.11_2021jun11-1;2;402;5
202;2021-06-27 18:06;S02.Sweden.VMS test.Anderses.VC;MS2;V2018_2;8.2.11_2021jun11-1;15;419;5
240;2021-06-27 23:35;S02.Sweden.VMS test.Anderses.VC;MS2;V2018_2;8.2.11_2021jun11-1;5;124;4
81;2021-06-27 09:17;S02.Sweden.VMS test.Andersta.AMSSC;MS2;V2018_2;8.2.11_2021jun11-1;1;15;4
83;2021-06-27 09:24;S02.Sweden.VMS test.Andersta.AMSSC;MS2;V2018_2;8.2.11_2021jun11-1;1;15;4
123;2021-06-27 11:31;S02.Sweden.VMS test.Andersta.AMSSC;MS2;V2018_2;8.2.11_2021jun11-1;1;15;4
169;2021-06-27 15:15;S02.Sweden.VMS test.Andersta.AMSSC;MS2;V2018_2;8.2.11_2021jun11-1;1;15;4
195;2021-06-27 17:22;S02.Sweden.VMS test.Andersta.AMSSC;MS3;V2010;18.5_rc1;2;207;4
353;2021-06-28 10:43;S02.Sweden.VMS test.Andersta.AMSSC;MS2;V2018_2;8.2.11_2021jun11-1;5;300;5
355;2021-06-28 10:50;S02.Sweden.VMS test.Andersta.AMSSC;MS1;V2018_2;8.2.11_2021jun11-1;5;128;5
100;2021-06-27 10:24;S02.Sweden.VMS test.Bredsjö.Lilla;MS2;V2018_2;9.1_2021apr23;1;15;5
140;2021-06-27 12:54;S02.Sweden.VMS test.Bredsjö.Lilla;MS2;V2018_2;9.1_2021apr23;1;15;5
145;2021-06-27 13:54;S02.Sweden.VMS test.Bredsjö.Lilla;MS2;V2018_2;9.1_2021apr23;9;6;5
198;2021-06-27 17:47;S02.Sweden.VMS test.Bredsjö.Lilla;MS2;V2018_2;9.1_2021apr23;1;15;5
216;2021-06-27 19:37;S02.Sweden.VMS test.Bredsjö.Lilla;MS2;V2018_2;9.1_2021apr23;1;15;5
335;2021-06-28 09:12;S02.Sweden.VMS test.Bredsjö.Lilla;MS2;V2018_2;9.1_2021apr23;1;15;5
3;2021-06-27 00:33;S02.Sweden.VMS test.Bredsjö.Stora;MS4;V2018_2;9.4_2021may28;13;250;4
11;2021-06-27 02:09;S02.Sweden.VMS test.Bredsjö.Stora;MS4;V2018_2;9.4_2021may28;2;204;5
12;2021-06-27 02:24;S02.Sweden.VMS test.Bredsjö.Stora;MS4;V2018_2;9.4_2021may28;13;250;4
15;2021-06-27 03:24;S02.Sweden.VMS test.Bredsjö.Stora;VMS Controller Stora;;;4;119;4
24;2021-06-27 05:25;S02.Sweden.VMS test.Bredsjö.Stora;MS4;V2018_2;9.4_2021may28;13;250;4
25;2021-06-27 05:28;S02.Sweden.VMS test.Bredsjö.Stora;Slingan;;;48;140;4
28;2021-06-27 05:47;S02.Sweden.VMS test.Bredsjö.Stora;VMS Controller Stora;;;4;119;4
48;2021-06-27 07:03;S02.Sweden.VMS test.Bredsjö.Stora;MS4;V2018_2;9.4_2021may28;1;15;5
51;2021-06-27 07:10;S02.Sweden.VMS test.Bredsjö.Stora;VMS Controller Stora;;;4;119;4
66;2021-06-27 08:26;S02.Sweden.VMS test.Bredsjö.Stora;MS4;V2018_2;9.4_2021may28;1;15;5
67;2021-06-27 08:26;S02.Sweden.VMS test.Bredsjö.Stora;MS4;V2018_2;9.4_2021may28;13;250;4
96;2021-06-27 10:02;S02.Sweden.VMS test.Bredsjö.Stora;MS6;V2018_2;9.4_2021may28;1;15;5
103;2021-06-27 10:29;S02.Sweden.VMS test.Bredsjö.Stora;MS4;V2018_2;9.4_2021may28;1;15;5
107;2021-06-27 10:36;S02.Sweden.VMS test.Bredsjö.Stora;MS5;V2018_2;9.4_2021may28;1;15;5
111;2021-06-27 10:46;S02.Sweden.VMS test.Bredsjö.Stora;MS5;V2018_2;9.4_2021may28;1;15;5
115;2021-06-27 11:01;S02.Sweden.VMS test.Bredsjö.Stora;MS4;V2018_2;9.4_2021may28;1;15;5
117;2021-06-27 11:21;S02.Sweden.VMS test.Bredsjö.Stora;MS3;V2018_2;9.4_2021may28;1;15;5
122;2021-06-27 11:27;S02.Sweden.VMS test.Bredsjö.Stora;MS4;V2018_2;9.4_2021may28;13;250;4
124;2021-06-27 11:38;S02.Sweden.VMS test.Bredsjö.Stora;MS4;V2018_2;9.4_2021may28;1;15;5
126;2021-06-27 11:47;S02.Sweden.VMS test.Bredsjö.Stora;MS4;V2018_2;9.4_2021may28;1;15;5
130;2021-06-27 12:17;S02.Sweden.VMS test.Bredsjö.Stora;Diskmaskinen;;;48;114;4
134;2021-06-27 12:26;S02.Sweden.VMS test.Bredsjö.Stora;Slingan;;;48;140;4
137;2021-06-27 12:34;S02.Sweden.VMS test.Bredsjö.Stora;MS5;V2018_2;9.4_2021may28;1;15;5
157;2021-06-27 14:28;S02.Sweden.VMS test.Bredsjö.Stora;MS4;V2018_2;9.4_2021may28;13;250;4
168;2021-06-27 15:10;S02.Sweden.VMS test.Bredsjö.Stora;MS4;V2018_2;9.4_2021may28;1;15;5
172;2021-06-27 15:18;S02.Sweden.VMS test.Bredsjö.Stora;MS4;V2018_2;9.4_2021may28;1;15;5
174;2021-06-27 15:26;S02.Sweden.VMS test.Bredsjö.Stora;MS4;V2018_2;9.4_2021may28;1;15;5
